               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.033249,           0.0089413,           0.0094371,                   1,              0.9689,               0.995,             0.64299,            0.016372,           0.0038555,           0.0017502,           0.0085942,           0.0085942,           0.0085942
                  73,            0.028267,            0.010143,           0.0097283,             0.76392,             0.95774,              0.9661,             0.53344,            0.020135,           0.0040816,           0.0014229,           0.0085744,           0.0085744,           0.0085744
                  74,            0.031689,           0.0090035,            0.010271,             0.99632,             0.97772,               0.995,             0.65519,            0.015524,           0.0038433,            0.001934,           0.0085546,           0.0085546,           0.0085546
                  75,            0.025342,           0.0094627,           0.0085755,             0.98488,             0.97912,             0.99471,             0.70415,            0.018889,           0.0040008,           0.0016251,           0.0085348,           0.0085348,           0.0085348
                  76,            0.030987,           0.0095154,            0.010214,             0.99265,             0.98077,             0.98812,              0.6272,            0.018408,           0.0037038,           0.0017182,            0.008515,            0.008515,            0.008515
                  77,            0.030502,           0.0094787,           0.0081972,              0.9946,              0.9993,               0.995,             0.70957,            0.017984,           0.0039617,           0.0014302,           0.0084952,           0.0084952,           0.0084952
                  78,             0.03559,            0.010205,           0.0069111,             0.99581,             0.98319,               0.995,              0.6194,            0.017447,           0.0037087,           0.0017166,           0.0084754,           0.0084754,           0.0084754
                  79,            0.027301,           0.0097365,           0.0088701,             0.97359,             0.99772,               0.995,             0.67115,            0.019079,           0.0038814,             0.00209,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031746,             0.00923,           0.0073278,             0.97983,             0.98077,             0.99147,             0.78688,            0.015183,            0.003587,           0.0025197,           0.0084358,           0.0084358,           0.0084358
                  81,            0.030149,           0.0085835,           0.0085745,              0.9707,             0.98143,             0.99429,             0.73198,             0.02026,           0.0036783,            0.003075,            0.008416,            0.008416,            0.008416
                  82,            0.025921,           0.0095126,           0.0079384,             0.86355,             0.97598,             0.95777,             0.69991,            0.013376,            0.003691,           0.0036045,           0.0083962,           0.0083962,           0.0083962
                  83,            0.032264,           0.0088467,           0.0081707,             0.88207,             0.96154,             0.98628,             0.57335,            0.019161,           0.0038063,           0.0042149,           0.0083764,           0.0083764,           0.0083764
                  84,            0.027702,           0.0087487,           0.0086649,              0.9735,             0.99738,               0.995,             0.67952,            0.015602,           0.0036707,           0.0021023,           0.0083566,           0.0083566,           0.0083566
                  85,            0.029066,           0.0098119,           0.0085157,             0.99686,                   1,               0.995,             0.59088,            0.022366,           0.0041779,           0.0012102,           0.0083368,           0.0083368,           0.0083368
                  86,            0.029718,           0.0098915,           0.0081403,              0.9902,             0.99878,               0.995,             0.72555,             0.01387,           0.0035084,            0.001342,            0.008317,            0.008317,            0.008317
                  87,            0.025151,           0.0087944,           0.0054884,             0.86113,             0.96529,             0.98119,             0.52986,            0.020448,           0.0038836,           0.0018826,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03371,           0.0091638,           0.0081335,             0.95284,             0.99766,               0.995,             0.72778,            0.014845,           0.0034673,           0.0025801,           0.0082774,           0.0082774,           0.0082774
