Frame Number,Timestamp,Vehicle ID,Vehicle BBox,Plate BBox,Plate Text,Plate Confidence,Vehicle Image Path,Plate Image Path
129,00:00:02,1,"(44, 0, 463, 229)","(196, 135, 334, 181)",BR01EZ2264,0.8453008664522005,E:/github/license_plate_detections/vehicle_image/129_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/129_1_plate_rotated.jpg
130,00:00:02,1,"(40, 0, 461, 227)","(192, 133, 331, 179)",BR01EZ2264,0.7554939472598766,E:/github/license_plate_detections/vehicle_image/130_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/130_1_plate_rotated.jpg
131,00:00:02,1,"(36, 0, 458, 226)","(190, 131, 328, 176)",BR01EZ2264,0.5187303070187138,E:/github/license_plate_detections/vehicle_image/131_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/131_1_plate_rotated.jpg
132,00:00:02,1,"(33, 0, 455, 225)","(186, 130, 325, 176)",BR01EZ2264,0.5034344966763031,E:/github/license_plate_detections/vehicle_image/132_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/132_1_plate_rotated.jpg
133,00:00:02,1,"(31, 0, 452, 224)","(183, 129, 321, 174)",BR01EZ2264,0.5970181897315087,E:/github/license_plate_detections/vehicle_image/133_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/133_1_plate_rotated.jpg
134,00:00:02,1,"(25, 0, 447, 224)","(178, 128, 317, 173)",BR01EZ2264,0.8088542296315608,E:/github/license_plate_detections/vehicle_image/134_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/134_1_plate_rotated.jpg
135,00:00:02,1,"(19, 0, 441, 224)","(172, 127, 312, 173)",BR01EZ2264,0.7257666880382048,E:/github/license_plate_detections/vehicle_image/135_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/135_1_plate_rotated.jpg
136,00:00:02,1,"(14, 0, 437, 223)","(168, 126, 307, 172)",BR01EZ2264,0.7046496323256511,E:/github/license_plate_detections/vehicle_image/136_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/136_1_plate_rotated.jpg
137,00:00:02,1,"(8, 0, 433, 222)","(162, 124, 302, 171)",BR01EZ2264,0.607058467140972,E:/github/license_plate_detections/vehicle_image/137_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/137_1_plate_rotated.jpg
138,00:00:02,1,"(1, 0, 428, 222)","(155, 123, 296, 170)",BR01EZ2264,0.43389605560992983,E:/github/license_plate_detections/vehicle_image/138_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/138_1_plate_rotated.jpg
139,00:00:02,1,"(0, 0, 421, 222)","(149, 123, 289, 171)",BR01EZ2264,0.8942052634583253,E:/github/license_plate_detections/vehicle_image/139_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/139_1_plate_rotated.jpg
